DEBUG 2020-08-13 15:54:27,348 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 12 classes define auto mapping attributes
DEBUG 2020-08-13 15:54:27,348 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Models.TokenAuth.ExternalLoginProviderInfoModel
DEBUG 2020-08-13 15:54:27,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Users.Dto.CreateUserDto
DEBUG 2020-08-13 15:54:27,366 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Users.Dto.UserDto
DEBUG 2020-08-13 15:54:27,367 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Sessions.Dto.TenantLoginInfoDto
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Sessions.Dto.UserLoginInfoDto
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Roles.Dto.PermissionDto
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.MultiTenancy.Dto.CreateTenantDto
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.MultiTenancy.Dto.TenantDto
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2020-08-13 15:54:27,368 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Web.PP.Models.States.EditStateModalViewModel
DEBUG 2020-08-13 15:54:27,369 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Web.PP.Models.Countries.EditCountryModalViewModel
DEBUG 2020-08-13 15:54:27,369 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - OMTechStation.PropertyPublicity.Web.Models.Roles.EditRoleModalViewModel
INFO  2020-08-13 15:54:37,405 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,ja,zh-Hans
INFO  2020-08-13 15:54:41,000 [1    ] taProtection.KeyManagement.XmlKeyManager - User profile is available. Using 'C:\Users\RAVAL\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
INFO  2020-08-13 15:54:41,644 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2020-08-13 15:54:42,356 [14   ] uthorization.DefaultAuthorizationService - Authorization failed.
INFO  2020-08-13 15:54:42,362 [14   ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
INFO  2020-08-13 15:54:42,431 [11   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Account/Login?ReturnUrl=%2F  
INFO  2020-08-13 15:54:42,452 [14   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 810.8099ms 302 
INFO  2020-08-13 15:54:42,467 [11   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'OMTechStation.PropertyPublicity.Web.Controllers.AccountController.Login (OMTechStation.PropertyPublicity.Web.Mvc)'
INFO  2020-08-13 15:54:45,239 [11   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "Login", controller = "Account", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Login(System.String, System.String, System.String) on controller OMTechStation.PropertyPublicity.Web.Controllers.AccountController (OMTechStation.PropertyPublicity.Web.Mvc).
INFO  2020-08-13 15:54:49,127 [11   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Login.
INFO  2020-08-13 15:54:51,342 [11   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Login executed in 2305.3851ms.
INFO  2020-08-13 15:54:51,345 [11   ] c.Infrastructure.ControllerActionInvoker - Executed action OMTechStation.PropertyPublicity.Web.Controllers.AccountController.Login (OMTechStation.PropertyPublicity.Web.Mvc) in 6104.6072ms
INFO  2020-08-13 15:54:51,346 [11   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'OMTechStation.PropertyPublicity.Web.Controllers.AccountController.Login (OMTechStation.PropertyPublicity.Web.Mvc)'
INFO  2020-08-13 15:54:51,375 [11   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 8943.6234ms 200 text/html; charset=utf-8
INFO  2020-08-13 15:54:51,684 [13   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637329308671196713  
INFO  2020-08-13 15:54:51,684 [11   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637329308671196713  
INFO  2020-08-13 15:54:51,700 [11   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2020-08-13 15:54:51,700 [13   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2020-08-13 15:54:51,738 [11   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetScripts(System.String, Boolean) on controller Abp.AspNetCore.Mvc.Controllers.AbpScriptsController (Abp.AspNetCore).
INFO  2020-08-13 15:54:51,739 [13   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ContentResult GetAll(Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) on controller Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController (Abp.AspNetCore).
INFO  2020-08-13 15:54:51,992 [11   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2020-08-13 15:54:51,994 [11   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 254.8196ms
INFO  2020-08-13 15:54:51,994 [11   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2020-08-13 15:54:51,995 [11   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 311.0157ms 200 application/x-javascript; charset=utf-8
INFO  2020-08-13 15:54:52,327 [13   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
